Timestamp,x,y,z,yaw
1.73736e+09,0.890999,-0.85989,0,0.0282532
1.73736e+09,0.930704,-0.886092,0,-0.0722572
1.73736e+09,1.15329,-1.00213,0,-0.778789
1.73736e+09,1.29816,-0.860821,0,-1.40167
1.73736e+09,1.29816,-0.860821,0,-1.40167
1.73736e+09,1.30489,-1.14922,0,-1.74569
1.73736e+09,1.96679,-1.75361,0,-2.10699
1.73736e+09,1.8724,-1.68148,0,-2.11499
1.73736e+09,1.87383,-1.68234,0,-2.10728
1.73736e+09,2.12488,-1.62013,0,-2.00845
1.73736e+09,2.14373,-1.64298,0,-2.0213
1.73736e+09,2.14373,-1.64298,0,-2.0213
1.73736e+09,2.28689,-1.77593,0,-1.9846
1.73736e+09,2.21208,-1.81585,0,-1.97257
1.73736e+09,2.21208,-1.81585,0,-1.97257
1.73736e+09,2.23996,-1.74766,0,-2.03362
1.73736e+09,2.19376,-1.84983,0,-2.17378
1.73736e+09,2.28901,-1.89911,0,-2.18216
1.73736e+09,2.28073,-1.88962,0,-2.17918
1.73736e+09,2.16051,-1.81398,0,-2.20961
1.73736e+09,2.14472,-1.79719,0,-2.20126
1.73736e+09,2.14472,-1.79719,0,-2.20126
1.73736e+09,2.10488,-1.89023,0,-2.24871
1.73736e+09,2.05689,-1.88189,0,-2.34361
1.73736e+09,2.05689,-1.88189,0,-2.34361
1.73736e+09,2.14662,-1.88471,0,-2.48611
1.73736e+09,2.25564,-1.69972,0,-2.42535
1.73736e+09,1.92803,-1.70988,0,2.9315
1.73736e+09,1.92803,-1.70988,0,2.9315
1.73736e+09,2.03234,-1.62984,0,2.55896
1.73736e+09,1.94374,-1.61061,0,2.58559
1.73736e+09,1.94374,-1.61061,0,2.58559
1.73736e+09,1.7407,-1.58561,0,2.6301
1.73736e+09,1.70538,-1.59958,0,2.5713
1.73736e+09,1.56403,-1.4745,0,2.43347
1.73736e+09,1.04965,-1.01041,0,1.9791
1.73736e+09,1.12151,-0.713077,0,1.32881
1.73736e+09,1.13421,-0.71743,0,1.34611
1.73736e+09,1.1316,-0.690884,0,1.30817
1.73736e+09,1.17439,-0.667268,0,1.28953
1.73736e+09,1.1248,-0.665343,0,1.20534
1.73736e+09,1.12481,-0.665345,0,1.20518
1.73736e+09,1.12484,-0.665436,0,1.20455
1.73736e+09,1.12491,-0.665339,0,1.20441
1.73736e+09,1.12491,-0.665339,0,1.20441
1.73736e+09,1.12356,-0.665028,0,1.18506
1.73736e+09,1.12505,-0.665354,0,1.20462
1.73736e+09,1.12488,-0.66533,0,1.204
1.73736e+09,1.1249,-0.665343,0,1.20418
1.73736e+09,1.12493,-0.665351,0,1.20426
1.73736e+09,1.12602,-0.665755,0,1.22118
1.73736e+09,1.12602,-0.66576,0,1.2213
1.73736e+09,1.12606,-0.665724,0,1.22175
1.73736e+09,1.12718,-0.666228,0,1.23907
1.73736e+09,1.12718,-0.666228,0,1.23907
1.73736e+09,1.12625,-0.665647,0,1.22283
1.73736e+09,1.12501,-0.66557,0,1.20386
1.73736e+09,1.12499,-0.665275,0,1.20429
1.73736e+09,1.12495,-0.665318,0,1.20429
1.73736e+09,1.12379,-0.664913,0,1.18678
1.73736e+09,1.1251,-0.665246,0,1.20429
1.73736e+09,1.12507,-0.665264,0,1.20429
1.73736e+09,1.12492,-0.665422,0,1.20404
1.73736e+09,1.12491,-0.665327,0,1.20454
1.73736e+09,1.12491,-0.665327,0,1.20454
1.73736e+09,1.12464,-0.665662,0,1.2021
1.73736e+09,1.12434,-0.664709,0,1.19513
1.73736e+09,1.12469,-0.665723,0,1.20298
1.73736e+09,1.12552,-0.665795,0,1.21461
1.73736e+09,1.12503,-0.665369,0,1.20592
1.73736e+09,1.12516,-0.66525,0,1.20476
1.73736e+09,1.12512,-0.665269,0,1.20467
1.73736e+09,1.12375,-0.664951,0,1.18702
1.73736e+09,1.12491,-0.665335,0,1.20429
1.73736e+09,1.12491,-0.665335,0,1.20429
1.73736e+09,1.12587,-0.66583,0,1.22101
1.73736e+09,1.1249,-0.665129,0,1.20396
1.73736e+09,1.12475,-0.665671,0,1.20352
1.73736e+09,1.12485,-0.665479,0,1.20398
1.73736e+09,1.12492,-0.66535,0,1.20429
1.73736e+09,1.12502,-0.665366,0,1.20476
1.73736e+09,1.12501,-0.665363,0,1.20469
1.73736e+09,1.12614,-0.665692,0,1.22232
1.73736e+09,1.12493,-0.615428,0,1.20429
1.73736e+09,1.12493,-0.615428,0,1.20429
1.73736e+09,1.12602,-0.665533,0,1.22207
1.73736e+09,1.12494,-0.6656,0,1.20491
1.73736e+09,1.12469,-0.665486,0,1.20289
1.73736e+09,1.12482,-0.665406,0,1.20372
